"","Link","Currency_type","Mean_Volume","Mean_MarketCap","Rank"
"1",1,"Bitcoin",6216769483.56808,135149818309.859,14
"2",2,"Bitconnect",13781256.3239437,950639913.14554,4
"3",3,"Dash",120473731.924883,4153979483.56808,9
"4",4,"Ethereum",1966636690.14085,50162502347.4178,13
"5",5,"Iota",131988317.323944,4312787361.50235,10
"6",6,"Litecoin",649506108.920188,6274256854.46009,11
"7",7,"Monero",99816980.2816901,2795947441.31455,7
"8",8,"Neo",180028841.455399,3345143375.58685,8
"9",9,"Numeraire",1091598.342723,29336355.399061,1
"10",10,"Omisego",69867048.0751174,1072581791.5493,5
"11",11,"Qtum",291837654.131455,1565603892.01878,6
"12",12,"Ripple",1059764203.75587,23317621643.1925,12
"13",13,"Stratis",25946750.6103286,748367037.558685,3
"14",14,"Waves",24525604.1784038,651471835.680751,2
